"month","country"
"2018-4","TT"
"2018-5","TT"
"2018-6","TT"
"2018-7","TT"
"2018-8","TT"
"2018-9","TT"
"2018-10","TT"
"2018-11","TT"
"2018-12","TT"
"2019-1","TT"
"2019-2","TT"
"2017-11","TO"
"2017-12","TO"
"2018-1","TO"
"2018-2","TO"
"2018-3","TO"
"2018-4","TO"
"2018-5","TO"
"2018-6","TO"
"2018-7","TO"
"2018-8","TO"
"2018-9","TO"
"2018-10","TO"
"2018-11","TO"
"2018-12","TO"
"2019-1","TO"
"2019-2","TO"
"2017-11","TG"
"2017-12","TG"
"2018-1","TG"
"2018-2","TG"
"2018-3","TG"
"2018-4","TG"
"2018-5","TG"
"2018-6","TG"
"2018-7","TG"
"2018-8","TG"
"2018-9","TG"
"2018-10","TG"
"2018-11","TG"
"2018-12","TG"
"2019-1","TG"
"2019-2","TG"
"2017-11","TL"
"2017-12","TL"
"2018-1","TL"
"2018-2","TL"
"2018-3","TL"
"2018-4","TL"
"2018-5","TL"
"2018-6","TL"
"2018-7","TL"
"2018-8","TL"
"2018-9","TL"
"2018-10","TL"
"2018-11","TL"
"2018-12","TL"
"2019-1","TL"
"2019-2","TL"
"2017-11","TZ"
"2017-12","TZ"
"2018-1","TZ"
"2018-2","TZ"
"2018-3","TZ"
"2018-4","TZ"
"2018-5","TZ"
"2018-6","TZ"
"2018-7","TZ"
"2018-8","TZ"
"2018-9","TZ"
"2018-10","TZ"
"2018-11","TZ"
"2018-12","TZ"
"2019-1","TZ"
"2019-2","TZ"
"2017-11","TJ"
"2017-12","TJ"
"2018-1","TJ"
"2018-2","TJ"
"2018-3","TJ"
"2018-4","TJ"
"2018-5","TJ"
"2018-6","TJ"
"2018-7","TJ"
"2018-8","TJ"
"2018-9","TJ"
"2018-10","TJ"
"2018-11","TJ"
"2018-12","TJ"
"2019-1","TJ"
"2019-2","TJ"
"2017-11","ST"
"2017-12","ST"
"2018-1","ST"
"2018-2","ST"
"2018-3","ST"
"2018-4","ST"
"2018-5","ST"
"2018-6","ST"
"2018-7","ST"
"2018-8","ST"
"2018-9","ST"
"2018-10","ST"
"2018-11","ST"
"2018-12","ST"
"2019-1","ST"
"2019-2","ST"
"2017-11","SZ"
"2017-12","SZ"
"2018-1","SZ"
"2018-2","SZ"
"2018-3","SZ"
"2018-4","SZ"
"2018-5","SZ"
"2018-6","SZ"
"2018-7","SZ"
"2018-8","SZ"
"2018-9","SZ"
"2018-10","SZ"
"2018-11","SZ"
"2018-12","SZ"
"2019-1","SZ"
"2019-2","SZ"
"2017-11","SJ"
"2017-12","SJ"
"2018-1","SJ"
"2018-2","SJ"
"2018-3","SJ"
"2018-4","SJ"
"2018-5","SJ"
"2018-6","SJ"
"2018-7","SJ"
"2018-8","SJ"
"2018-9","SJ"
"2018-10","SJ"
"2018-11","SJ"
"2018-12","SJ"
"2019-1","SJ"
"2019-2","SJ"
"2017-11","SR"
"2017-12","SR"
"2018-1","SR"
"2018-2","SR"
"2018-3","SR"
"2018-4","SR"
"2018-5","SR"
"2018-6","SR"
"2018-7","SR"
"2018-8","SR"
"2018-9","SR"
"2018-10","SR"
"2018-11","SR"
"2018-12","SR"
"2019-1","SR"
"2019-2","SR"
"2017-11","SD"
"2017-12","SD"
"2018-1","SD"
"2018-2","SD"
"2018-3","SD"
"2018-4","SD"
"2018-5","SD"
"2018-6","SD"
"2018-7","SD"
"2018-8","SD"
"2018-9","SD"
"2018-10","SD"
"2018-11","SD"
"2018-12","SD"
"2019-1","SD"
"2019-2","SD"
"2017-11","VC"
"2017-12","VC"
"2018-1","VC"
"2018-2","VC"
"2018-3","VC"
"2018-4","VC"
"2018-5","VC"
"2018-6","VC"
"2018-7","VC"
"2018-8","VC"
"2018-9","VC"
"2018-10","VC"
"2018-11","VC"
"2018-12","VC"
"2019-1","VC"
"2019-2","VC"
"2017-11","MF"
"2017-12","MF"
"2018-1","MF"
"2018-2","MF"
"2018-3","MF"
"2018-4","MF"
"2018-5","MF"
"2018-6","MF"
"2018-7","MF"
"2018-8","MF"
"2018-9","MF"
"2018-10","MF"
"2018-11","MF"
"2018-12","MF"
"2019-1","MF"
"2019-2","MF"
"2017-11","LC"
"2017-12","LC"
"2018-1","LC"
"2018-2","LC"
"2018-3","LC"
"2018-4","LC"
"2018-5","LC"
"2018-6","LC"
"2018-7","LC"
"2018-8","LC"
"2018-9","LC"
"2018-10","LC"
"2018-11","LC"
"2018-12","LC"
"2019-1","LC"
"2019-2","LC"
"2017-11","SH"
"2017-12","SH"
"2018-1","SH"
"2018-2","SH"
"2018-3","SH"
"2018-4","SH"
"2018-5","SH"
"2018-6","SH"
"2018-7","SH"
"2018-8","SH"
"2018-9","SH"
"2018-10","SH"
"2018-11","SH"
"2018-12","SH"
"2019-1","SH"
"2019-2","SH"
"2017-11","BL"
"2017-12","BL"
"2018-1","BL"
"2018-2","BL"
"2018-3","BL"
"2018-4","BL"
"2018-5","BL"
"2018-6","BL"
"2018-7","BL"
"2018-8","BL"
"2018-9","BL"
"2018-10","BL"
"2018-11","BL"
"2018-12","BL"
"2019-1","BL"
"2019-2","BL"
"2017-11","SS"
"2017-12","SS"
"2018-1","SS"
"2018-2","SS"
"2018-3","SS"
"2018-4","SS"
"2018-5","SS"
"2018-6","SS"
"2018-7","SS"
"2018-8","SS"
"2018-9","SS"
"2018-10","SS"
"2018-11","SS"
"2018-12","SS"
"2019-1","SS"
"2019-2","SS"
"2017-11","KR"
"2017-12","KR"
"2018-1","KR"
"2018-2","KR"
"2018-3","KR"
"2018-4","KR"
"2018-5","KR"
"2018-6","KR"
"2018-7","KR"
"2018-8","KR"
"2018-9","KR"
"2018-10","KR"
"2018-11","KR"
"2018-12","KR"
"2019-1","KR"
"2019-2","KR"
"2017-11","GS"
"2017-12","GS"
"2018-1","GS"
"2018-2","GS"
"2018-3","GS"
"2018-4","GS"
"2018-5","GS"
"2018-6","GS"
"2018-7","GS"
"2018-8","GS"
"2018-9","GS"
"2018-10","GS"
"2018-11","GS"
"2018-12","GS"
"2019-1","GS"
"2019-2","GS"
"2017-11","SI"
"2017-12","SI"
"2018-1","SI"
"2018-2","SI"
"2018-3","SI"
"2018-4","SI"
"2018-5","SI"
"2018-6","SI"
"2018-7","SI"
"2018-8","SI"
"2018-9","SI"
"2018-10","SI"
"2018-11","SI"
"2018-12","SI"
"2019-1","SI"
"2019-2","SI"
"2017-11","SK"
"2017-12","SK"
"2018-1","SK"
"2018-2","SK"
"2018-3","SK"
"2018-4","SK"
"2018-5","SK"
"2018-6","SK"
"2018-7","SK"
"2018-8","SK"
"2018-9","SK"
"2018-10","SK"
"2018-11","SK"
"2018-12","SK"
"2019-1","SK"
"2019-2","SK"
"2017-11","SX"
"2017-12","SX"
"2018-1","SX"
"2018-2","SX"
"2018-3","SX"
"2018-4","SX"
"2018-5","SX"
"2018-6","SX"
"2018-7","SX"
"2018-8","SX"
"2018-9","SX"
"2018-10","SX"
"2018-11","SX"
"2018-12","SX"
"2019-1","SX"
"2019-2","SX"
"2017-11","RS"
"2017-12","RS"
"2018-1","RS"
"2018-2","RS"
"2018-3","RS"
"2018-4","RS"
"2018-5","RS"
"2018-6","RS"
"2018-7","RS"
"2018-8","RS"
"2018-9","RS"
"2018-10","RS"
"2018-11","RS"
"2018-12","RS"
"2019-1","RS"
"2019-2","RS"
"2017-11","SN"
"2017-12","SN"
"2018-1","SN"
"2018-2","SN"
"2018-3","SN"
"2018-4","SN"
"2018-5","SN"
"2018-6","SN"
"2018-7","SN"
"2018-8","SN"
"2018-9","SN"
"2018-10","SN"
"2018-11","SN"
"2018-12","SN"
"2019-1","SN"
"2019-2","SN"
"2017-11","SM"
"2017-12","SM"
"2018-1","SM"
"2018-2","SM"
"2018-3","SM"
"2018-4","SM"
"2018-5","SM"
"2018-6","SM"
"2018-7","SM"
"2018-8","SM"
"2018-9","SM"
"2018-10","SM"
"2018-11","SM"
"2018-12","SM"
"2019-1","SM"
"2019-2","SM"
"2017-11","WS"
"2017-12","WS"
"2018-1","WS"
"2018-2","WS"
"2018-3","WS"
"2018-4","WS"
"2018-5","WS"
"2018-6","WS"
"2018-7","WS"
"2018-8","WS"
"2018-9","WS"
"2018-10","WS"
"2018-11","WS"
"2018-12","WS"
"2019-1","WS"
"2019-2","WS"
"2017-11","RW"
"2017-12","RW"
"2018-1","RW"
"2018-2","RW"
"2018-3","RW"
"2018-4","RW"
"2018-5","RW"
"2018-6","RW"
"2018-7","RW"
"2018-8","RW"
"2018-9","RW"
"2018-10","RW"
"2018-11","RW"
"2018-12","RW"
"2019-1","RW"
"2019-2","RW"
"2017-11","RU"
"2017-12","RU"
"2018-1","RU"
"2018-2","RU"
"2018-3","RU"
"2018-4","RU"
"2018-5","RU"
"2018-6","RU"
"2018-7","RU"
"2018-8","RU"
"2018-9","RU"
"2018-10","RU"
"2018-11","RU"
"2018-12","RU"
"2019-1","RU"
"2019-2","RU"
"2017-11","RO"
"2017-12","RO"
"2018-1","RO"
"2018-2","RO"
"2018-3","RO"
"2018-4","RO"
"2018-5","RO"
"2018-6","RO"
"2018-7","RO"
"2018-8","RO"
"2018-9","RO"
"2018-10","RO"
"2018-11","RO"
"2018-12","RO"
"2019-1","RO"
"2019-2","RO"
"2017-11","QA"
"2017-12","QA"
"2018-1","QA"
"2018-2","QA"
"2018-3","QA"
"2018-4","QA"
"2018-5","QA"
"2018-6","QA"
"2018-7","QA"
"2018-8","QA"
"2018-9","QA"
"2018-10","QA"
"2018-11","QA"
"2018-12","QA"
"2019-1","QA"
"2019-2","QA"
"2017-11","PR"
"2017-12","PR"
"2018-1","PR"
"2018-2","PR"
"2018-3","PR"
"2018-4","PR"
"2018-5","PR"
"2018-6","PR"
"2018-7","PR"
"2018-8","PR"
"2018-9","PR"
"2018-10","PR"
"2018-11","PR"
"2018-12","PR"
"2019-1","PR"
"2019-2","PR"
"2017-11","PT"
"2017-12","PT"
"2018-1","PT"
"2018-2","PT"
"2018-3","PT"
"2018-4","PT"
"2018-5","PT"
"2018-6","PT"
"2018-7","PT"
"2018-8","PT"
"2018-9","PT"
"2018-10","PT"
"2018-11","PT"
"2018-12","PT"
"2019-1","PT"
"2019-2","PT"
"2017-11","PL"
"2017-12","PL"
"2018-1","PL"
"2018-2","PL"
"2018-3","PL"
"2018-4","PL"
"2018-5","PL"
"2018-6","PL"
"2018-7","PL"
"2018-8","PL"
"2018-9","PL"
"2018-10","PL"
"2018-11","PL"
"2018-12","PL"
"2019-1","PL"
"2019-2","PL"
"2017-11","PY"
"2017-12","PY"
"2018-1","PY"
"2018-2","PY"
"2018-3","PY"
"2018-4","PY"
"2018-5","PY"
"2018-6","PY"
"2018-7","PY"
"2018-8","PY"
"2018-9","PY"
"2018-10","PY"
"2018-11","PY"
"2018-12","PY"
"2019-1","PY"
"2019-2","PY"
"2017-11","PG"
"2017-12","PG"
"2018-1","PG"
"2018-2","PG"
"2018-3","PG"
"2018-4","PG"
"2018-5","PG"
"2018-6","PG"
"2018-7","PG"
"2018-8","PG"
"2018-9","PG"
"2018-10","PG"
"2018-11","PG"
"2018-12","PG"
"2019-1","PG"
"2019-2","PG"
"2017-11","PS"
"2017-12","PS"
"2018-1","PS"
"2018-2","PS"
"2018-3","PS"
"2018-4","PS"
"2018-5","PS"
"2018-6","PS"
"2018-7","PS"
"2018-8","PS"
"2018-9","PS"
"2018-10","PS"
"2018-11","PS"
"2018-12","PS"
"2019-1","PS"
"2019-2","PS"
"2017-11","PW"
"2017-12","PW"
"2018-1","PW"
"2018-2","PW"
"2018-3","PW"
"2018-4","PW"
"2018-5","PW"
"2018-6","PW"
"2018-7","PW"
"2018-8","PW"
"2018-9","PW"
"2018-10","PW"
"2018-11","PW"
"2018-12","PW"
"2019-1","PW"
"2019-2","PW"
"2017-11","OM"
"2017-12","OM"
"2018-1","OM"
"2018-2","OM"
"2018-3","OM"
"2018-4","OM"
"2018-5","OM"
"2018-6","OM"
"2018-7","OM"
"2018-8","OM"
"2018-9","OM"
"2018-10","OM"
"2018-11","OM"
"2018-12","OM"
"2019-1","OM"
"2019-2","OM"
"2017-11","NO"
"2017-12","NO"
"2018-1","NO"
"2018-2","NO"
"2018-3","NO"
"2018-4","NO"
"2018-5","NO"
"2018-6","NO"
"2018-7","NO"
"2018-8","NO"
"2018-9","NO"
"2018-10","NO"
"2018-11","NO"
"2018-12","NO"
"2019-1","NO"
"2019-2","NO"
"2017-11","MP"
"2017-12","MP"
"2018-1","MP"
"2018-2","MP"
"2018-3","MP"
"2018-4","MP"
"2018-5","MP"
"2018-6","MP"
"2018-7","MP"
"2018-8","MP"
"2018-9","MP"
"2018-10","MP"
"2018-11","MP"
"2018-12","MP"
"2019-1","MP"
"2019-2","MP"
"2017-11","NF"
"2017-12","NF"
"2018-1","NF"
"2018-2","NF"
"2018-3","NF"
"2018-4","NF"
"2018-5","NF"
"2018-6","NF"
"2018-7","NF"
"2018-8","NF"
"2018-9","NF"
"2018-10","NF"
"2018-11","NF"
"2018-12","NF"
"2019-1","NF"
"2019-2","NF"
"2017-11","NI"
"2017-12","NI"
"2018-1","NI"
"2018-2","NI"
"2018-3","NI"
"2018-4","NI"
"2018-5","NI"
"2018-6","NI"
"2018-7","NI"
"2018-8","NI"
"2018-9","NI"
"2018-10","NI"
"2018-11","NI"
"2018-12","NI"
"2019-1","NI"
"2019-2","NI"
"2017-11","NZ"
"2017-12","NZ"
"2018-1","NZ"
"2018-2","NZ"
"2018-3","NZ"
"2018-4","NZ"
"2018-5","NZ"
"2018-6","NZ"
"2018-7","NZ"
"2018-8","NZ"
"2018-9","NZ"
"2018-10","NZ"
"2018-11","NZ"
"2018-12","NZ"
"2019-1","NZ"
"2019-2","NZ"
"2017-11","NP"
"2017-12","NP"
"2018-1","NP"
"2018-2","NP"
"2018-3","NP"
"2018-4","NP"
"2018-5","NP"
"2018-6","NP"
"2018-7","NP"
"2018-8","NP"
"2018-9","NP"
"2018-10","NP"
"2018-11","NP"
"2018-12","NP"
"2019-1","NP"
"2019-2","NP"
"2017-11","NR"
"2017-12","NR"
"2018-1","NR"
"2018-2","NR"
"2018-3","NR"
"2018-4","NR"
"2018-5","NR"
"2018-6","NR"
"2018-7","NR"
"2018-8","NR"
"2018-9","NR"
"2018-10","NR"
"2018-11","NR"
"2018-12","NR"
"2019-1","NR"
"2019-2","NR"
