alpha-2,geo,name
BO,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-58.1628303527832, -20.159759521484375], [-58.20188903808588, -19.78730010986328], [-59.11920166015625, -19.344478607177734], [-59.982978820800724, -19.291370391845533], [-61.68695831298828, -19.629028320312386], [-62.26946258544922, -20.564365386962663], [-62.2581901550293, -21.061019897460938], [-62.64651870727539, -22.242889404296875], [-62.80807113647461, -22.004440307617074], [-63.93524932861328, -22.002731323242188], [-64.33743286132807, -22.75030136108387], [-64.54065704345697, -22.287860870361214], [-64.98323059082031, -22.083669662475586], [-65.75480651855463, -22.105810165405217], [-66.22112274169922, -21.77854728698719], [-66.28827667236322, -22.081661224365007], [-66.7388687133789, -22.233850479125863], [-67.17749786376947, -22.804691314697266], [-67.87242126464838, -22.8297119140625], [-67.94219207763672, -22.08806037902832], [-68.17196655273432, -21.29397010803217], [-68.67777252197266, -20.4956111907959], [-68.78045654296875, -20.082050323486328], [-68.41034698486328, -19.397930145263445], [-68.89795684814453, -19.03190040588379], [-69.06680297851557, -18.069210052490234], [-69.29872131347656, -17.941310882568132], [-69.462646484375, -17.50754547119135], [-69.63672637939447, -17.28673362731911], [-69.010986328125, -16.682924270629883], [-68.81884002685541, -16.351491928100472], [-69.19641113281244, -16.16810035705555], [-69.40184783935541, -15.605990409851017], [-69.12066650390625, -15.260137557983398], [-69.36052703857416, -14.961258888244572], [-68.8283462524414, -14.220449447631779], [-69.06658935546875, -13.687438964843636], [-68.90827178955078, -13.493241310119629], [-68.87767028808594, -12.927919387817383], [-68.65339660644526, -12.50031852722168], [-69.56517791748047, -10.955497741699162], [-68.2383422851562, -10.956472396850586], [-68.00425720214844, -10.65369987487776], [-67.70793151855463, -10.710809707641602], [-67.31526184082031, -10.319379806518327], [-67.01644897460938, -10.258200645446664], [-66.55554962158203, -9.88398075103754], [-65.44346618652344, -9.669329643249512], [-65.28607940673822, -9.845491409301587], [-65.42971038818348, -10.481014251708984], [-65.25089263916004, -10.984551429748421], [-65.29854583740229, -11.497219085693246], [-65.02263641357422, -11.999151229858342], [-64.50630950927734, -12.227701187133675], [-64.37339782714838, -12.466940879821664], [-63.660499572753906, -12.470610618591195], [-63.06536865234375, -12.684049606323242], [-62.76446914672846, -13.02264022827137], [-62.11965942382807, -13.153539657592773], [-61.82427978515625, -13.539250373840218], [-61.03089904785156, -13.47397136688221], [-60.467720031738224, -13.800960540771484], [-60.481590270996094, -14.181341171264648], [-60.27207946777344, -14.620298385620117], [-60.24424743652344, -15.096813201904297], [-60.55948638916004, -15.111411094665527], [-60.23523330688465, -15.473531723022347], [-60.17198181152338, -16.262117385864144], [-58.430400848388615, -16.321298599243107], [-58.39546203613281, -17.184459686279183], [-57.785591125488224, -17.555549621581918], [-57.55776977539057, -18.2403507232666], [-57.78419113159174, -19.03351020812977], [-58.13339996337885, -19.757841110229492], [-57.876689910888615, -19.96588134765625], [-58.1628303527832, -20.159759521484375]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BO""}}",Bolivia
BA,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[19.033163070678768, 44.87005233764671], [19.36595153808605, 44.89698791503906], [19.153772354125977, 44.29458618164074], [19.61243820190441, 44.02397155761713], [19.230537414550724, 44.00306701660179], [19.510490417480582, 43.71989059448259], [19.18567466735834, 43.53514862060547], [18.9585418701173, 43.51557540893549], [18.492286682128963, 42.97517013549816], [18.458923339843807, 42.56530761718773], [17.648450851440487, 42.8882942199707], [17.576017379760856, 42.94239807128929], [17.728881835937443, 42.98052978515625], [16.244707107543945, 44.197971343994254], [15.819162368774414, 44.73852920532255], [15.758016586303711, 45.16730499267578], [16.327577590942496, 45.01327514648449], [16.50181770324707, 45.21825027465832], [18.65928268432623, 45.07701110839855], [19.033163070678768, 44.87005233764671]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BA""}}",Bosnia & Herzegovina
BW,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[25.25670051574707, -17.787921905517578], [25.270332336425895, -17.798908233642464], [25.237176895141715, -17.917688369750863], [25.819629669189453, -18.84372711181635], [26.160480499267578, -19.537670135497933], [26.717180252075195, -19.943857192992937], [27.242591857910156, -20.142490386962777], [27.284971237182674, -20.497812271117994], [27.683849334716797, -20.49033927917469], [27.686029434204215, -21.06584930419922], [28.030500411987532, -21.581752777099496], [29.07681274414074, -21.8199005126952], [29.36831092834501, -22.197811126708928], [29.036939620971623, -22.216310501098633], [28.9218692779541, -22.458379745483228], [28.342639923095703, -22.573720932006722], [27.011480331421012, -23.637790679931527], [26.861679077148438, -24.137519836425668], [26.393280029297102, -24.636629104614144], [25.84827995300293, -24.75502014160145], [25.580879211425952, -25.6387996673584], [24.685869216919173, -25.823329925536996], [23.903379440307845, -25.626810073852425], [23.468269348144645, -25.27947044372553], [23.054380416870117, -25.28948974609375], [22.57869911193859, -26.186220169067326], [21.694839477539006, -26.86124038696289], [20.686630249023438, -26.90004920959467], [20.604450225830192, -26.520839691161996], [20.863279342651424, -26.132680892944336], [20.384170532226562, -25.034299850463754], [20.000228881836165, -24.766942977905217], [19.999998092651424, -22.00177764892578], [21.00174140930187, -22.00383949279785], [20.997270584106502, -19.99945068359375], [20.9988250732423, -18.3178768157959], [21.468940734863338, -18.318029403686467], [23.296621322631836, -17.997524261474553], [23.61285972595215, -18.50404930114746], [24.20108032226574, -18.016550064086857], [24.575153350830135, -18.065099716186467], [24.953508377075252, -17.797027587890625], [25.25670051574707, -17.787921905517578]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BW""}}",Botswana
BV,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[3.357448101043701, -54.39033126831049], [3.487485885620117, -54.432380676269474], [3.322521924972648, -54.464424133300724], [3.357448101043701, -54.39033126831049]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BV""}}",Bouvet Island
BR,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-45.95458221435547, -1.1909719705581665], [-45.639583587646484, -1.3415280580519493], [-44.67652893066406, -1.568472981452942], [-44.590415954589844, -1.7820839881896973], [-44.30236053466791, -2.4876389503477867], [-43.615970611572266, -2.532916069030705], [-43.27930450439453, -2.3459720611571697], [-42.25624847412104, -2.8087511062620933], [-41.834861755371094, -2.7248599529264084], [-41.57930374145508, -2.9065279960631187], [-39.904026031494084, -2.8740279674528324], [-38.46180725097645, -3.7223610877989586], [-38.119304656982365, -4.145693778991529], [-37.15680694580078, -4.94652795791626], [-36.72069549560547, -5.088749885558968], [-35.979026794433594, -5.04097318649292], [-35.48930740356445, -5.157639026641732], [-35.22652816772455, -5.580417156219255], [-34.797359466552734, -7.145973205566236], [-34.82013702392578, -7.925416946411133], [-35.3073616027832, -9.194026947021484], [-36.3843040466308, -10.499306678771802], [-36.95735931396479, -10.854582786560002], [-38.00152587890619, -12.577917098999023], [-38.276248931884766, -12.877082824706974], [-38.71986007690424, -12.610695838928223], [-38.931251525878906, -13.219582557678109], [-38.89097213745117, -13.64041805267334], [-39.06236267089844, -14.624027252197038], [-38.85569381713867, -15.856527328491097], [-39.0212516784668, -16.260139465331974], [-39.221248626708984, -17.305416107177734], [-39.13708496093744, -17.690971374511605], [-39.63708496093744, -18.237361907958984], [-39.749027252197266, -18.854305267333928], [-39.68902587890625, -19.295137405395337], [-40.02736282348633, -19.780694961547738], [-40.43375015258789, -20.641807556152116], [-40.7448616027832, -20.849027633666992], [-41.06680679321289, -21.492361068725472], [-40.98458480834961, -22.00041580200184], [-41.77402877807617, -22.36486053466797], [-42.05541610717768, -22.958471298217773], [-43.1109733581543, -22.953750610351562], [-43.533748626708984, -23.050418853759652], [-43.794307708740234, -22.903863906860295], [-44.66875076293945, -23.054861068725472], [-44.58541488647455, -23.359861373901367], [-44.90763854980469, -23.334028244018555], [-45.42902755737299, -23.65652847290022], [-46.50263977050781, -24.04069519042963], [-47.895973205566406, -24.91430473327631], [-47.92597198486317, -25.160137176513558], [-48.502082824706974, -25.50097274780262], [-48.69402694702143, -25.8601398468017], [-48.49263763427729, -26.217636108398438], [-48.66402816772461, -26.566804885864087], [-48.57569503784174, -27.879583358764535], [-48.7551383972168, -28.510414123535156], [-49.68624877929682, -29.285972595214787], [-50.110416412353516, -29.954027175903207], [-50.317359924316406, -30.46930503845215], [-50.76652908325195, -31.108749389648438], [-51.25513839721674, -31.569583892822152], [-51.12819290161127, -31.096805572509595], [-50.74440002441406, -30.81226921081543], [-50.705520629882756, -30.34761238098133], [-51.32930374145508, -30.23014068603493], [-51.200416564941406, -30.408191680907976], [-51.63069534301752, -31.262638092041016], [-51.91736221313471, -31.311527252197152], [-52.22624969482416, -31.75236129760725], [-52.09875106811518, -32.16125106811512], [-52.80263900756836, -33.30458450317383], [-53.37402725219715, -33.7470817565918], [-53.52365875244129, -33.68610382080078], [-53.484397888183594, -33.07806396484358], [-53.09424591064453, -32.733345031738054], [-53.63163375854492, -32.381599426269474], [-53.74139404296875, -32.07909774780268], [-54.460792541503906, -31.662931442260742], [-54.50460815429676, -31.513168334960938], [-55.24435424804682, -31.253818511962777], [-55.600376129150334, -30.843719482421875], [-55.86979293823231, -31.079561233520508], [-56.17499542236328, -30.613792419433594], [-56.83508300781244, -30.088199615478345], [-57.2067756652832, -30.28145408630371], [-57.615211486816406, -30.179105758666992], [-57.34196472167963, -30.001224517822095], [-55.867664337158146, -28.35382652282709], [-54.9471817016601, -27.78001213073719], [-54.816997528076115, -27.539896011352425], [-54.33691787719721, -27.46126556396473], [-53.830329895019474, -27.17094421386696], [-53.5918350219726, -26.26488876342762], [-53.89387893676758, -25.62281990051258], [-54.59564208984375, -25.59211921691883], [-54.26244354248041, -24.374458312988224], [-54.31898498535156, -24.009012222289925], [-54.67533493041992, -23.813564300536996], [-55.23027801513672, -24.008590698242074], [-55.44090270996088, -23.909488677978402], [-55.62667083740229, -22.618640899658033], [-55.860996246337834, -22.276325225829964], [-56.40267562866205, -22.0747394561767], [-56.830467224121094, -22.297666549682617], [-58.0046272277832, -22.029239654540902], [-57.85876083374018, -21.31073570251459], [-57.86871337890625, -20.73684310913086], [-58.1628303527832, -20.159759521484375], [-57.876689910888615, -19.96588134765625], [-58.13339996337885, -19.757841110229492], [-57.78419113159174, -19.03351020812977], [-57.55776977539057, -18.2403507232666], [-57.785591125488224, -17.555549621581918], [-58.39546203613281, -17.184459686279183], [-58.430400848388615, -16.321298599243107], [-60.17198181152338, -16.262117385864144], [-60.23523330688465, -15.473531723022347], [-60.55948638916004, -15.111411094665527], [-60.24424743652344, -15.096813201904297], [-60.27207946777344, -14.620298385620117], [-60.481590270996094, -14.181341171264648], [-60.467720031738224, -13.800960540771484], [-61.03089904785156, -13.47397136688221], [-61.82427978515625, -13.539250373840218], [-62.11965942382807, -13.153539657592773], [-62.76446914672846, -13.02264022827137], [-63.06536865234375, -12.684049606323242], [-63.660499572753906, -12.470610618591195], [-64.37339782714838, -12.466940879821664], [-64.50630950927734, -12.227701187133675], [-65.02263641357422, -11.999151229858342], [-65.29854583740229, -11.497219085693246], [-65.25089263916004, -10.984551429748421], [-65.42971038818348, -10.481014251708984], [-65.28607940673822, -9.845491409301587], [-65.44346618652344, -9.669329643249512], [-66.55554962158203, -9.88398075103754], [-67.01644897460938, -10.258200645446664], [-67.31526184082031, -10.319379806518327], [-67.70793151855463, -10.710809707641602], [-68.00425720214844, -10.65369987487776], [-68.2383422851562, -10.956472396850586], [-69.56517791748047, -10.955497741699162], [-70.62786102294922, -11.003930091857683], [-70.62670135498047, -9.833668708801156], [-70.56111145019526, -9.429719924926644], [-71.22229766845697, -9.970390319824105], [-72.18033599853516, -10.000248908996412], [-72.28190612792969, -9.542189598083496], [-73.20939636230463, -9.413648605346623], [-72.94046020507807, -9.096088409423828], [-73.5289688110351, -8.350530624389535], [-73.7019271850586, -7.7606110572813805], [-73.98905944824219, -7.5358991622924805], [-73.6926498413086, -7.313790798187142], [-73.7616577148437, -6.93848991394043], [-73.10190582275385, -6.402639865875244], [-73.23610687255848, -6.040859222411939], [-72.96015930175781, -5.655599117279053], [-72.88823699951172, -5.160579204559269], [-71.9468765258789, -4.606150150299072], [-70.93385314941406, -4.3808012008665855], [-70.7483291625976, -4.160419940948259], [-70.37885284423828, -4.133659839630127], [-70.2003173828125, -4.357480049133187], [-69.94944000244135, -4.22842884063698], [-69.37514495849604, -1.1733089685440063], [-69.58978271484375, -0.5237050056456383], [-70.0680160522461, -0.13478000462038153], [-70.03734588623047, 0.5530200004577068], [-69.45355987548828, 0.7291700243952732], [-69.11381530761713, 0.6341210007667542], [-69.32923889160156, 1.0624610185625443], [-69.85407257080072, 1.0697499513627804], [-69.85518646240234, 1.7149209976198563], [-68.16205596923822, 1.7343889474871617], [-67.38941192626942, 2.2439808845521156], [-67.09749603271473, 1.7325710058215122], [-67.0882797241211, 1.166870951652811], [-66.87033081054676, 1.2265360355377197], [-66.31851196289057, 0.7550150156023392], [-65.58557891845703, 1.0089110136034947], [-65.44304656982416, 0.6898499727250282], [-64.81051635742188, 1.314355969429073], [-64.76385498046864, 1.2307410240172771], [-64.06522369384766, 1.6759819984437172], [-64.0618896484375, 1.9307099580767044], [-63.39770126342768, 2.1468560695651036], [-63.40680694580078, 2.435909986496199], [-64.0560531616211, 2.4976511001586914], [-63.98271942138672, 2.717369079590071], [-64.23522949218739, 3.114319086074829], [-64.18577575683594, 3.559587001800537], [-64.8105239868164, 4.174582004547119], [-64.171890258789, 4.128757953643799], [-63.964107513427734, 3.867922067642212], [-63.685489654541016, 4.0090308189393795], [-63.20492935180664, 3.9512519836425213], [-62.98491668701172, 3.6095919609069824], [-62.732173919677734, 4.035823822021712], [-61.9655876159668, 4.114905834197998], [-61.30986404418945, 4.542803764343489], [-60.9913330078125, 4.516063213348673], [-60.587852478027344, 4.965773105621508], [-60.73051834106445, 5.197121143341349], [-60.21232604980463, 5.264453887939567], [-59.97511672973633, 5.081165790558089], [-60.1595573425293, 4.51964378356945], [-59.67125701904297, 4.376558780670393], [-59.51573944091797, 3.9414250850678627], [-59.844989776611214, 3.6034789085390457], [-59.80075454711914, 3.3521308898928623], [-59.98783874511713, 2.6791229248049717], [-59.72375106811518, 2.2782320976257324], [-59.744270324706974, 1.8469510078433018], [-59.15567016601557, 1.3483489751815796], [-58.79553222656244, 1.176952004432735], [-58.507110595703125, 1.2644070386887734], [-58.31858444213867, 1.593605041503963], [-57.54407501220703, 1.7023450136184692], [-57.08129119873047, 2.0192840099334717], [-56.48025131225586, 1.9414720535281162], [-55.99496841430664, 1.831146001815796], [-56.133148193359375, 2.2641520500185948], [-55.938831329345646, 2.5315508842469967], [-55.73891448974604, 2.4012138843536945], [-55.10270690917969, 2.522384881973551], [-54.5246696472168, 2.3048019409179688], [-54.33214950561518, 2.163784980774153], [-53.78903198242182, 2.365223884582747], [-52.986690521240234, 2.171376943588257], [-52.66184997558594, 2.3855130672457676], [-52.326900482177734, 3.08879303932207], [-51.60593032836914, 4.2365269660950275], [-51.51069259643555, 4.4412498474120525], [-51.0756950378418, 3.8918049335480873], [-51.04152679443354, 3.1295828819277176], [-50.68875122070307, 2.134860992431925], [-50.46097183227539, 1.8162490129471962], [-49.918472290039006, 1.6881940364840489], [-49.86819458007807, 1.1823619604110718], [-50.059028625488224, 0.8045840263367836], [-50.01041793823231, 0.3126389980317299], [-49.569583892822266, 0.38513898849487305], [-49.3245849609375, -0.16180600225914077], [-48.40458297729492, -0.2520819902418907], [-48.02236175537104, -0.6926389932632446], [-47.78541564941406, -0.5881929993628887], [-46.829029083251896, -0.7537500262258732], [-45.95458221435547, -1.1909719705581665]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BR""}}",Brazil
IO,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.43152618408209, -7.431250095367432], [72.42763519287104, -7.331805229187012], [72.3531951904298, -7.272916793823242], [72.43374633789062, -7.315417766571045], [72.43152618408209, -7.431250095367432]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""IO""}}",British Indian Ocean Territory
VG,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-64.56291961669922, 18.459863662719727], [-64.6634750366211, 18.382917404174805], [-64.64430236816406, 18.4534721374514], [-64.56291961669922, 18.459863662719727]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""VG""}}",British Virgin Islands
BN,"{""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[115.03803253173828, 4.793191909790266], [115.15531921386753, 4.911237239837874], [115.29830932617233, 4.436700820923079], [115.11060333251976, 4.405399799347151], [115.03803253173828, 4.793191909790266]]], [[[115.00092315673851, 4.884733200073526], [114.7947998046875, 4.746360778808764], [114.88800048828136, 4.423229217529524], [114.67939758300781, 4.034860134124926], [114.1280517578125, 4.5869441032410805], [114.85083007812523, 4.968889236450252], [115.00092315673851, 4.884733200073526]]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BN""}}",Brunei
BG,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[22.685134887695256, 44.20994949340843], [23.02587699890148, 44.08969879150396], [22.868034362793082, 43.83865356445335], [23.416744232177734, 43.853130340576286], [24.17486000061035, 43.682941436767805], [24.499534606933878, 43.761753082275504], [25.39164352416998, 43.61933135986351], [26.11316490173334, 43.972503662109375], [26.899950027465877, 44.131538391113395], [27.91829490661621, 44.00849533081055], [28.579860687255973, 43.74041748046875], [28.47041702270525, 43.38013839721691], [28.1337509155274, 43.3968048095706], [27.900138854980526, 42.70013809204113], [27.651805877685547, 42.4509735107423], [28.034662246704386, 41.98236083984375], [27.535417556762695, 41.913124084472656], [27.271862030029297, 42.10630035400419], [26.623439788818416, 41.97692871093756], [26.36878776550293, 41.71422958374035], [26.0592098236084, 41.69626998901373], [26.11891746520996, 41.349506378173885], [25.230846405029524, 41.24337387084961], [24.524034500122184, 41.566539764404524], [22.933700561523438, 41.34315872192383], [22.826902389526424, 42.00934219360346], [22.34573745727539, 42.304096221924055], [22.423133850097884, 42.786884307861385], [22.978883743286246, 43.17801284790056], [22.5126247406007, 43.461688995361555], [22.34377861022955, 43.79510498046875], [22.68092155456543, 44.212677001953125], [22.6831569671632, 44.21123504638683], [22.685134887695256, 44.20994949340843]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BG""}}",Bulgaria
BF,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[0.2293500006198883, 14.989670753479231], [0.16625000536447487, 14.533438682556266], [0.6355190277100746, 13.693430900573901], [1.2809699773788452, 13.358619689941577], [0.9918199777603718, 13.370920181274641], [0.9975000023841858, 12.999650001525822], [1.576050043106079, 12.633138656616495], [2.1606299877167316, 12.687950134277287], [2.066420078277588, 12.35094070434593], [2.4054000377655598, 11.901610374450911], [2.0192480087280273, 11.427710533142374], [1.443132996559143, 11.472230911255167], [0.9121546745300861, 10.99649047851591], [-0.14200599491590538, 11.138980865478743], [-0.5696573257445721, 10.981320381164608], [-2.8343300819396973, 11.004159927368448], [-2.942348003387451, 10.612568855285645], [-2.762532949447518, 10.23859882354742], [-2.6899240016936687, 9.488793373107853], [-2.7631800174713135, 9.401107788086165], [-3.195469617843571, 9.92747879028326], [-3.708622932434082, 9.942521095276163], [-4.707960128784123, 9.687990188598633], [-4.967852115631047, 9.892443656921387], [-5.11106014251709, 10.304679870605582], [-5.518918037414551, 10.433259963989315], [-5.490749835968018, 11.071919441223201], [-5.203893184661865, 11.529199600219954], [-5.408094882965088, 11.823349952698038], [-4.569054126739502, 12.134599685669173], [-4.230224132537785, 12.937218666076774], [-4.345856189727783, 13.146181106567553], [-3.956789016723633, 13.495340347290153], [-3.532244920730534, 13.171990394592342], [-3.256079912185612, 13.283860206604004], [-3.279644012451172, 13.71578979492216], [-2.8719699382781982, 13.655329704284895], [-2.8370299339293865, 14.060629844665812], [-2.4764699935913086, 14.297860145569075], [-2.1058199405670166, 14.150279998779297], [-1.9753700494766235, 14.480879783630542], [-1.6749099493025597, 14.506890296936035], [-0.7014880180358887, 15.081521034240666], [0.2293500006198883, 14.989670753479231]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BF""}}",Burkina Faso
BI,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[30.54342079162626, -2.413010358810425], [30.50556182861351, -2.9529540538786705], [30.849876403808878, -2.9805920124053387], [30.042213439941406, -4.277047157287598], [29.391475677490405, -4.445250034332162], [29.253709793090763, -3.9181020259857178], [29.259010314941577, -3.0686531066893394], [29.040174484252873, -2.743100166320687], [29.370906829834155, -2.839972734451237], [29.89001846313505, -2.7509109973905197], [29.959877014160213, -2.326840162277051], [30.54342079162626, -2.413010358810425]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""BI""}}",Burundi
KH,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[104.43984222412126, 10.42237663269043], [103.90120697021501, 10.6519203186038], [103.49057006835938, 10.622914314270076], [103.7127914428711, 10.851262092590616], [103.55333709716797, 11.167777061462346], [103.35576629638695, 10.865764617919865], [103.09895324707048, 10.916091918945312], [103.14944458007841, 11.314929962158487], [102.91255950927763, 11.64521980285673], [102.70449066162104, 12.171961784362793], [102.78440093994152, 12.399150848388672], [102.51277923584013, 12.667881965637207], [102.35099792480474, 13.275840759277514], [102.91398620605469, 14.016731262207088], [102.95610809326189, 14.20619106292719], [103.58026885986351, 14.425170898437443], [103.88352966308616, 14.336550712585392], [104.80882263183622, 14.43501186370861], [105.21039581298845, 14.341489791870345], [105.91262054443388, 13.926250457763786], [106.17642974853527, 14.024020195007552], [106.02848052978516, 14.343401908874625], [106.54441833496094, 14.59097099304222], [106.85473632812517, 14.28551197052019], [107.5381164550783, 14.688091278076115], [107.33789825439453, 14.126630783080998], [107.62998962402372, 13.36073017120367], [107.49723815917997, 13.053600311279524], [107.5449600219726, 12.351290702820052], [107.1516723632812, 12.275639533996639], [106.72048950195312, 11.968540191650447], [106.41159820556652, 11.972681045532283], [106.45050048828153, 11.67048168182373], [106.02313995361328, 11.774740219116211], [105.86377716064482, 11.29076194763195], [106.20513153076178, 10.978131294250431], [105.93418884277355, 10.839090347290039], [105.77890777587919, 11.0303506851198], [104.86783599853533, 10.521690368652571], [104.43984222412126, 10.42237663269043]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""KH""}}",Cambodia
CM,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[14.085529327392692, 13.077386856079329], [14.459829330444279, 13.073822021484318], [14.823895454406852, 12.633510589599553], [14.88499546051031, 12.16073989868164], [15.086870193481388, 11.998294830322322], [15.047668457031307, 10.999185562133903], [15.15007209777832, 10.53128051757841], [15.687345504760799, 9.994759559631461], [14.802422523498649, 9.935675621032885], [14.208049774169922, 10.006105422973633], [13.98225212097168, 9.644258499145451], [14.492976188659668, 9.057681083679427], [15.108338356018123, 8.656015396118278], [15.5868434906007, 7.7732453346254715], [15.551923751831112, 7.570376873016528], [15.245120048523006, 7.273379325866756], [14.739759445190487, 6.250890254974308], [14.418822288513297, 6.032466411590576], [14.599580764770508, 5.922855854034424], [14.529488563537711, 5.27375507354742], [14.720344543457088, 4.644704818725813], [15.094683647155875, 4.290076255798283], [15.248896598815918, 3.7106723785401527], [16.09303283691412, 2.8297698497772217], [16.189256668090877, 2.2248063087463947], [16.1491317749024, 1.6942335367205033], [15.748046875000057, 1.9194816350936321], [15.048355102539062, 1.9769518375398434], [14.597784042358398, 2.203109741211108], [13.29901313781744, 2.1709835529327393], [12.307167053222713, 2.282197713852213], [11.379797935485897, 2.284238338470459], [11.33441066741949, 2.1723947525023846], [9.897463798523006, 2.2022268772124676], [9.82126426696783, 2.3479201793670654], [9.974259376525879, 3.0902979373934727], [9.553070068359375, 3.8112919330599766], [8.977318763732967, 4.102503299713192], [8.832584381103516, 4.545902729034424], [8.5039644241333, 4.513381958007869], [8.525799751281795, 4.734583854675236], [8.81873416900629, 5.185620784759635], [8.843086242675895, 5.82934665679926], [9.467670440673942, 6.456195831298828], [9.70634555816656, 6.515554428100586], [10.153351783752441, 7.038451671600626], [10.217097282409668, 6.888836860656738], [10.841154098510799, 6.939635753631876], [11.099142074584961, 6.521626472473088], [11.423880577087516, 6.53017282485979], [12.034343719482479, 7.521106719970703], [12.238751411437988, 8.33907794952404], [12.432199478149528, 8.62133789062517], [12.785830497741813, 8.743083000183105], [12.843784332275447, 9.372720718383789], [13.207711219787711, 9.55784130096464], [13.247768402099666, 10.035773277282658], [13.436149597168026, 10.137202262878418], [13.708013534545898, 10.972044944763468], [13.985551834106559, 11.3203706741333], [14.194681167602539, 11.252654075622502], [14.61450481414795, 11.512958526611328], [14.676218986511344, 12.159849166870345], [14.224431037902946, 12.361770629883097], [14.085529327392692, 13.077386856079329]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""CM""}}",Cameroon
