count,country,day,issue,language,month
1,FJ,2017-10-22,endangered species,en,2017-10
4,FJ,2017-10-22,climate change,en,2017-10
1,GB,2017-10-22,endangered species,en,2017-10
2,CN,2017-10-22,extinction,en,2017-10
1,AU,2017-10-22,invasive species,en,2017-10
1,CO,2017-10-22,deforestation,es,2017-10
6,CO,2017-10-22,climate change,es,2017-10
2,AU,2017-10-22,deforestation,en,2017-10
2,AU,2017-10-22,extinction,en,2017-10
1,US,2017-10-22,ecology,zh_t,2017-10
1,AR,2017-10-22,ecology,en,2017-10
1,IL,2017-10-22,biodiversity,es,2017-10
1,IE,2017-10-22,invasive species,en,2017-10
1,DE,2017-10-22,ecology,en,2017-10
2,SE,2017-10-22,desertification,en,2017-10
3,SE,2017-10-22,climate change,en,2017-10
5,NL,2017-10-22,climate change,en,2017-10
2,GB,2017-10-22,deforestation,en,2017-10
23,GB,2017-10-22,climate change,en,2017-10
1,IE,2017-10-22,deforestation,es,2017-10
2,IE,2017-10-22,biodiversity,es,2017-10
8,IE,2017-10-22,sustainability,es,2017-10
4,IE,2017-10-22,climate change,es,2017-10
17,CA,2017-10-22,sustainability,en,2017-10
7,DE,2017-10-22,sustainability,en,2017-10
2,KR,2017-10-22,climate change,en,2017-10
7,ZA,2017-10-22,sustainability,en,2017-10
1,CH,2017-10-22,climate change,en,2017-10
11,NZ,2017-10-22,climate change,en,2017-10
1,AR,2017-10-22,climate change,en,2017-10
1,AT,2017-10-22,climate change,en,2017-10
8,AU,2017-10-22,sustainability,en,2017-10
5,EU,2017-10-22,sustainability,en,2017-10
2,AT,2017-10-22,sustainability,en,2017-10
8,VN,2017-10-22,climate change,en,2017-10
8,AU,2017-10-22,climate change,en,2017-10
1,MY,2017-10-22,sustainability,en,2017-10
4,NG,2017-10-22,climate change,en,2017-10
6,ID,2017-10-22,climate change,en,2017-10
3,NL,2017-10-22,climate change,nl,2017-10
2,TH,2017-10-22,sustainability,en,2017-10
4,IN,2017-10-22,sustainability,en,2017-10
1,PG,2017-10-22,sustainability,en,2017-10
1,AE,2017-10-22,protected area,en,2017-10
3,AE,2017-10-22,sustainability,en,2017-10
2,CN,2017-10-22,climate change,en,2017-10
8,ZA,2017-10-22,climate change,en,2017-10
15,GB,2017-10-22,sustainability,en,2017-10
2,LU,2017-10-22,climate change,en,2017-10
1,LU,2017-10-22,sustainability,de,2017-10
2,KR,2017-10-22,sustainability,en,2017-10
1,CH,2017-10-22,sustainability,en,2017-10
1,UG,2017-10-22,sustainability,en,2017-10
3,UG,2017-10-22,climate change,en,2017-10
1,SG,2017-10-22,protected area,en,2017-10
1,IN,2017-10-22,protected area,en,2017-10
2,IT,2017-10-22,climate change,en,2017-10
4,FR,2017-10-22,sustainability,en,2017-10
1,HU,2017-10-22,climate change,en,2017-10
2,HK,2017-10-22,sustainability,en,2017-10
3,HK,2017-10-22,climate change,en,2017-10
1,CO,2017-10-22,climate change,en,2017-10
1,TR,2017-10-22,climate change,en,2017-10
1,TH,2017-10-22,climate change,en,2017-10
3,NG,2017-10-22,sustainability,en,2017-10
1,PG,2017-10-22,climate change,en,2017-10
1,IN,2017-10-22,species diversity,en,2017-10
2,SG,2017-10-22,sustainability,en,2017-10
1,ZW,2017-10-22,sustainability,en,2017-10
3,GB,2017-10-22,protected area,en,2017-10
1,TR,2017-10-22,sustainability,en,2017-10
1,SA,2017-10-22,sustainability,en,2017-10
1,SA,2017-10-22,climate change,en,2017-10
2,OM,2017-10-22,sustainability,en,2017-10
4,MY,2017-10-22,climate change,en,2017-10
1,AE,2017-10-22,climate change,en,2017-10
1,NZ,2017-10-22,sustainability,en,2017-10
3,FM,2017-10-22,climate change,en,2017-10
1,RO,2017-10-22,sustainability,en,2017-10
2,SG,2017-10-22,climate change,en,2017-10
2,PK,2017-10-22,sustainability,en,2017-10
1,US,2017-10-22,climate change,hi,2017-10
1,EU,2017-10-22,climate change,en,2017-10
2,PH,2017-10-22,climate change,en,2017-10
1,RS,2017-10-22,climate change,en,2017-10
3,PL,2017-10-22,sustainability,en,2017-10
1,IT,2017-10-22,sustainability,en,2017-10
45,IT,2017-10-22,sustainability,it,2017-10
1,KE,2017-10-22,sustainability,en,2017-10
1,UA,2017-10-22,sustainability,en,2017-10
1,JP,2017-10-22,endangered species,ja,2017-10
1,JP,2017-10-22,extinction,ja,2017-10
1,FM,2017-10-22,sustainability,en,2017-10
1,DE,2017-10-22,protected area,en,2017-10
1,SO,2017-10-22,climate change,en,2017-10
2,DK,2017-10-22,climate change,en,2017-10
2,NZ,2017-10-22,protected area,en,2017-10
1,DK,2017-10-22,sustainability,en,2017-10
1,US,2017-10-22,sustainability,ko,2017-10
1,DO,2017-10-22,sustainability,en,2017-10
6,AT,2017-10-22,sustainability,de,2017-10
3,US,2017-10-22,subspecies,en,2017-10
1,US,2017-10-22,subspecies,ro,2017-10
1,ES,2017-10-22,sustainability,en,2017-10
2,JP,2017-10-22,climate change,ja,2017-10
