country,month,twitterrate
GT,2017-10,0.0003469331112961421
GE,2017-10,0.00023689665383476457
FR,2017-10,0.0005758072374540461
LI,2017-11,0.006134969325153374
UA,2017-10,0
SZ,2017-11,0
LS,2017-11,0
PT,2017-10,0.00014212115828744003
CO,2017-10,0.000544327164292138
TV,2017-10,0
MA,2017-10,0.0012484394506866417
BM,2017-11,0.0006806772738875181
TR,2017-10,0.0004291998998533567
IE,2017-10,0.0008149010477299185
SM,2017-11,0
ID,2017-10,0.0006138019983528352
NO,2017-10,0.0007172057663343614
SK,2017-10,0.0003091190108191654
CH,2017-10,0.00107357572287432
BH,2017-11,0.00005934718100890208
NZ,2017-11,0.0015893960295087866
KH,2017-11,0
NC,2017-10,0
CD,2017-11,0
MR,2017-10,0.003131524008350731
CD,2017-10,0
BH,2017-10,0.00024657872025644185
FI,2017-10,0.0019369417841385989
BM,2017-10,0.0002034587995930824
UZ,2017-10,0
MM,2017-10,0.0005159958720330237
MR,2017-11,0
BW,2017-11,0.0005025125628140704
PK,2017-10,0.0006744225257123588
TD,2017-10,0
LK,2017-10,0.0005667327854916407
TH,2017-10,0.0003426711213912448
PY,2017-10,0.0005738057667479559
SG,2017-10,0.000672834314550042
KP,2017-11,0
CR,2017-10,0.00019364833462432224
CM,2017-10,0.0018975332068311196
BI,2017-10,0
VA,2017-10,0
AU,2017-10,0.0012925403918872464
BF,2017-11,0.001589825119236884
QA,2017-10,0.0007078572150874709
TG,2017-11,0
HN,2017-10,0.0022793465873116375
SR,2017-10,0
DO,2017-10,0.0008470986869970351
FJ,2017-11,0.005607476635514018
FO,2017-10,0
BJ,2017-11,0.0009671179883945841
RW,2017-11,0.0015991471215351812
JM,2017-10,0.0005814758410632702
MY,2017-10,0.00012552038660279075
NL,2017-10,0.0016523389527743665
IS,2017-10,0
MK,2017-10,0.0016835016835016834
EE,2017-10,0
PM,2017-10,0
GG,2017-10,0.002173913043478261
SV,2017-11,0.0005859775570595646
CU,2017-10,0.00021026072329688813
GP,2017-10,0
BD,2017-10,0.0005465078150617554
IQ,2017-10,0.0006966875672936855
SE,2017-10,0.0013023782559456398
TN,2017-10,0.000691323885240235
PS,2017-11,0.0002754062241806665
LC,2017-10,0
LA,2017-10,0
LR,2017-10,0
IN,2017-11,0.0003061910499024848
BB,2017-11,0.0009088155104513784
ZW,2017-10,0.0010559662090813093
TW,2017-10,0.0002097975453687192
KW,2017-10,0.0004382280977248658
PT,2017-11,0.00014311720726806426
ES,2017-10,0.000780985813432956
SS,2017-11,0
MO,2017-11,0
SM,2017-10,0
DM,2017-10,0
AW,2017-10,0
GA,2017-10,0.003194888178913738
BB,2017-10,0.0012399256044637321
BA,2017-10,0.0006060606060606061
BG,2017-10,0.0007012622720897616
BA,2017-11,0.0002883506343713956
GA,2017-11,0
LU,2017-10,0
KG,2017-10,0
BE,2017-11,0.0014805762496768583
TT,2017-11,0.00023369946249123628
LV,2017-10,0
DK,2017-10,0.0017839766461239053
BO,2017-11,0.0004958677685950413
VG,2017-11,0
BE,2017-10,0.0010794695178369487
AF,2017-10,0.0012674271229404308
FR,2017-11,0.0006128558894118677
HT,2017-10,0.0009694619486185168
PM,2017-11,0
TG,2017-10,0
LT,2017-10,0
MK,2017-11,0.00038774718883288094
TL,2017-10,0
ST,2017-10,0
BQ,2017-10,0
HU,2017-10,0
CW,2017-10,0
NI,2017-11,0.000177430801987225
GF,2017-10,0
FK,2017-11,0
CZ,2017-11,0.00037383177570093456
SH,2017-10,0
GN,2017-10,0
LI,2017-10,0.013513513513513514
SB,2017-10,0
IL,2017-10,0.0003450655624568668
CO,2017-11,0.0007744505089246201
UM,2017-10,0
TF,2017-10,0
PW,2017-10,0
FM,2017-10,0
BT,2017-11,0
AS,2017-10,0
AX,2017-10,0
RS,2017-11,0.0003109452736318408
VN,2017-11,0.00029391594004114823
AQ,2017-10,0
CA,2017-10,0.0009162768188417487
EC,2017-11,0.0008946416674597887
AT,2017-11,0.0011734028683181225
LT,2017-11,0.001201923076923077
TC,2017-10,0
WF,2017-10,0
SE,2017-11,0.0011765608614471698
FJ,2017-10,0.0022371364653243847
MT,2017-10,0.0014347202295552368
VG,2017-10,0
SN,2017-10,0
CK,2017-10,0
ZA,2017-11,0.0003829186796124653
NU,2017-10,0
IS,2017-11,0.0004462293618920125
VE,2017-11,0.0006797870317550866
VC,2017-11,0.0004539522215286841
US,2017-11,0.00046908921000712736
SG,2017-11,0.0004906586148329874
TR,2017-11,0.0001929432252191637
CA,2017-11,0.0008887567718412735
EE,2017-11,0.00031525851197982345
DE,2017-11,0.0008755800717975659
GD,2017-10,0.0006616674018526688
AR,2017-11,0.00023739256637550108
SX,2017-10,0
PY,2017-11,0.00036036036036036037
HT,2017-11,0.00018109380659181456
NL,2017-11,0.001234694927461673
PH,2017-11,0.00015627329073083008
ES,2017-11,0.00096551781914448
SL,2017-10,0.002793296089385475
AU,2017-11,0.0011097309532967206
MD,2017-10,0
RO,2017-11,0.00035523978685612787
TW,2017-11,0.00026721296873608263
ID,2017-11,0.00018867862072618097
AO,2017-11,0
AE,2017-11,0.0002615404733882568
SV,2017-10,0.000598766540925693
JP,2017-11,0.00029648591872670146
FI,2017-11,0.0018304431599229288
CV,2017-11,0
SA,2017-11,0.00008329385551639587
MY,2017-11,0.00028622924278948284
GF,2017-11,0.006944444444444444
TH,2017-11,0.0001706522626264125
PR,2017-11,0.00024926881148630683
BY,2017-11,0.00016252234682268812
NG,2017-11,0.0003941516814659468
SC,2017-11,0.0004555289830315454
AW,2017-11,0
PL,2017-11,0.00018277637310750298
MT,2017-11,0.0014995876134063133
GM,2017-10,0
KI,2017-11,0
EG,2017-11,0.00004450038778909359
IT,2017-11,0.0007483121403944437
NO,2017-11,0.0007363277327799718
MA,2017-11,0.0004525569467491326
KW,2017-11,0.00012223658016973424
NA,2017-10,0
BJ,2017-10,0
BZ,2017-11,0.0004195217452104601
KN,2017-10,0
QA,2017-11,0.00023216939078751856
BS,2017-10,0.00018515089798185522
IM,2017-11,0
CI,2017-10,0.0013386880856760374
SO,2017-11,0.0008904719501335708
PA,2017-11,0.0004993009786299181
SI,2017-11,0.00023758612497030174
ME,2017-11,0
GR,2017-11,0.0005781722953440125
TK,2017-10,0
GT,2017-11,0.000265401585774475
BG,2017-11,0.00070298769771529
KR,2017-11,0.00015943877551020407
MP,2017-10,0
BN,2017-11,0
MV,2017-11,0.002078669651423089
VA,2017-11,0.0022271714922048997
CL,2017-10,0.0006321112515802782
KY,2017-11,0
KG,2017-11,0
KZ,2017-11,0.00013338668800853674
CN,2017-10,0.00022094157936405648
PK,2017-11,0.001113327008345112
MU,2017-11,0.00048429081663538953
YT,2017-11,0
LY,2017-11,0.00027495188342040145
CR,2017-11,0.00036200733064844565
IL,2017-11,0.0002803319129849742
GG,2017-11,0
KE,2017-11,0.0009941027801179444
GH,2017-11,0.00030385900941962927
GH,2017-10,0.0005119672340970178
IR,2017-11,0.0002674920707707593
US,2017-10,0.0004402974821936084
GP,2017-11,0.00023424689622862497
CH,2017-11,0.0014093739757456572
ZM,2017-11,0.00037425149700598805
MQ,2017-11,0.00035323207347227127
MX,2017-11,0.0005287604525176279
OM,2017-11,0.00031099362463069506
TN,2017-11,0.0003137500980469056
SD,2017-11,0.00034040621808691704
GD,2017-11,0.0010226110669242132
AL,2017-11,0.0002196836555360281
IQ,2017-11,0.00006133840397472858
UA,2017-11,0.0001269035532994924
IT,2017-10,0.0007052766447639086
PA,2017-10,0.0006163961372508733
MG,2017-11,0.00041476565740356696
NP,2017-11,0.0009531676939696257
LC,2017-11,0.0003332222592469177
DZ,2017-11,0.00011098779134295228
MZ,2017-10,0
CI,2017-11,0.00066711140760507
YT,2017-10,0
BD,2017-11,0.0006571630775452431
MH,2017-11,0
SK,2017-11,0
AI,2017-11,0.000792393026941363
HK,2017-11,0.0006037984411022066
TZ,2017-11,0.0008128979813033464
SY,2017-11,0.00014716703458425313
GI,2017-11,0.004073319755600814
NI,2017-10,0
ET,2017-11,0.0005096839959225281
LK,2017-11,0.0009158707313881983
JE,2017-11,0
UG,2017-10,0.0003968253968253968
LR,2017-11,0.001589825119236884
MF,2017-11,0
JO,2017-11,0.00033537352226041756
ZW,2017-11,0.00021319688732544505
SJ,2017-11,0
PG,2017-11,0.0006898930665746809
MM,2017-11,0.00040543279951348065
BS,2017-11,0.0004347070074769605
SN,2017-11,0.0006811989100817438
PR,2017-10,0.00008224360555966774
MN,2017-11,0.00042301184433164127
RE,2017-11,0.001583531274742676
MP,2017-11,0
LU,2017-11,0.00037537537537537537
YE,2017-11,0.00043856901196666874
AG,2017-11,0
GW,2017-11,0
