country,month,trends,twitter,news,overall
NL,2018-2,6.31818181818,11.7781325452,4.50220041013,7.53283825784
MX,2018-2,29.6363636364,5.09999843017,3.76598992314,12.8341173299
BM,2018-2,,3.70127743203,,
MG,2018-2,0.727272727273,,,
HU,2018-2,1.31818181818,8.62760068715,0.289825069869,3.41186919173
BE,2018-2,2.22727272727,6.70822202434,2.33576642336,3.75708705832
HT,2018-2,2.09090909091,,,
GP,2018-2,1.31818181818,,,
DE,2018-2,3.81818181818,4.95977780656,3.00634364438,3.92810108971
FR,2018-2,4.90909090909,5.26281339607,2.34698814847,4.17296415121
FI,2018-2,2.95454545455,16.6902989484,2.04400062412,7.22961500901
SV,2018-2,17.0454545455,6.55858226281,1.72413793103,8.4427249131
EC,2018-2,19.4545454545,10.8829062892,5.64015792442,11.9925365561
CL,2018-2,3.59090909091,4.95309897431,4.00137978613,4.18179595045
CA,2018-2,10.6363636364,9.33752108861,5.75264486333,8.57550986277
NF,2018-2,,,,
BR,2018-2,5.40909090909,1.25857679028,4.88922537456,3.85229769131
AZ,2018-2,,,2.47362677337,
AT,2018-2,2.36363636364,2.76915536677,2.22711381587,2.45330184876
ZM,2018-1,,7.10490547387,4.79487179487,5.94988863437
VN,2018-1,7.81818181818,3.46698824239,0.656759635725,3.9806432321
VE,2018-1,8.54545454545,3.84420457854,3.65039753932,5.34668555444
KY,2018-2,,9.47986577181,1.5306122449,5.50523900836
VA,2018-1,,,4.67032967033,
UY,2018-1,1.40909090909,3.7562449428,7.51628917158,4.22720834116
UM,2018-1,,,,
UG,2018-1,1.72727272727,5.14822920812,9.27419354839,5.38323182793
TV,2018-1,,,1.74172734011,
TT,2018-1,,3.7938770124,3.12604480107,3.45996090674
TO,2018-1,,,1.26992031873,
TL,2018-1,,,6.14951768489,
SE,2018-1,7.5,12.5291828794,1.99719837673,7.34212708537
SZ,2018-1,,,,
SJ,2018-1,,,,
SR,2018-1,,9.15605095541,3.58952702703,6.37278899122
SD,2018-1,1.13636363636,2.68503385477,1.13941018767,1.6536025596
VC,2018-1,,4.57816567141,,
PM,2018-1,,,1.28787878788,
MF,2018-1,,,,
LC,2018-1,,1.10026789131,,
BL,2018-1,,,,
LK,2018-1,3.68181818182,,5.08535417996,4.38358618089
SS,2018-1,,,,
MF,2018-2,,,,
ZA,2018-1,9.36363636364,2.8267829167,4.27718062536,5.48919996856
WF,2018-2,,,,
