"Weekday","Google Trends","Twitter","Newspapers"
"Monday",58.5821678321678,22.8051247708764,21.0639563686488
"Tuesday",62.6818181818182,25.1182582094459,27.0670823458533
"Wednesday",62.1704545454545,25.9426073705362,30.0018365899119
"Thursday",59.7552447552448,25.6680442888516,27.6473651427831
"Friday",49.3583916083916,24.2912429581846,28.7050411759096
"Saturday",32.5297202797203,19.5585704261175,27.1651751834881
"Sunday",40.7342657342657,17.8223593193127,21.1492700054786
