"Weekday","Google Trends","Twitter","Newspapers"
"Monday",54.9439528378981,13.9586247626121,19.5086072043212
"Tuesday",59.0818353883112,15.3602131170184,25.0121782972404
"Wednesday",57.7356531657443,15.5013179305988,27.224205234428
"Thursday",55.8972290435605,15.686052843066,25.2353152621118
"Friday",46.9344997307187,14.7492209302343,26.5793792490791
"Saturday",33.0921271398652,12.0290704227505,25.1276949619022
"Sunday",39.7845745887897,11.4461675974273,19.6984536006277
